Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
46,12,4,107,4,Some Random Commen with Id 46
47,12,4,47,9,Some Random Commen with Id 47
48,12,4,35,9,Some Random Commen with Id 48
49,12,4,174,3,Some Random Commen with Id 49
50,13,8,146,4,Some Random Commen with Id 50
51,13,8,177,2,Some Random Commen with Id 51
52,13,8,135,4,Some Random Commen with Id 52
53,13,8,180,6,Some Random Commen with Id 53
54,13,8,182,2,Some Random Commen with Id 54
55,13,8,111,7,Some Random Commen with Id 55
56,13,8,44,1,Some Random Commen with Id 56
57,14,8,67,6,Some Random Commen with Id 57
58,14,8,98,0,Some Random Commen with Id 58
59,14,8,177,0,Some Random Commen with Id 59
60,15,6,70,6,Some Random Commen with Id 60
61,15,6,26,5,Some Random Commen with Id 61
62,15,6,44,1,Some Random Commen with Id 62
63,15,6,14,9,Some Random Commen with Id 63
64,15,6,95,9,Some Random Commen with Id 64
65,15,6,15,3,Some Random Commen with Id 65
66,15,6,115,6,Some Random Commen with Id 66
67,15,6,124,3,Some Random Commen with Id 67
68,15,6,21,8,Some Random Commen with Id 68
69,17,0,190,3,Some Random Commen with Id 69
70,17,0,163,0,Some Random Commen with Id 70
71,17,0,112,3,Some Random Commen with Id 71
72,17,0,82,2,Some Random Commen with Id 72
73,18,1,94,3,Some Random Commen with Id 73
74,18,1,152,1,Some Random Commen with Id 74
75,18,1,131,5,Some Random Commen with Id 75
76,18,1,60,3,Some Random Commen with Id 76
77,20,6,170,9,Some Random Commen with Id 77
78,20,6,1,2,Some Random Commen with Id 78
79,20,6,31,9,Some Random Commen with Id 79
80,21,0,195,0,Some Random Commen with Id 80
81,21,0,47,6,Some Random Commen with Id 81
82,22,8,137,0,Some Random Commen with Id 82
83,22,8,95,8,Some Random Commen with Id 83
84,22,8,164,4,Some Random Commen with Id 84
85,22,8,107,5,Some Random Commen with Id 85
86,22,8,90,1,Some Random Commen with Id 86
87,22,8,134,9,Some Random Commen with Id 87
88,23,3,24,7,Some Random Commen with Id 88
89,23,3,169,7,Some Random Commen with Id 89
90,24,3,159,5,Some Random Commen with Id 90
91,24,3,136,0,Some Random Commen with Id 91
92,24,3,106,1,Some Random Commen with Id 92
93,24,3,10,8,Some Random Commen with Id 93
94,24,3,34,2,Some Random Commen with Id 94
95,24,3,67,6,Some Random Commen with Id 95
96,25,4,29,5,Some Random Commen with Id 96
97,25,4,105,2,Some Random Commen with Id 97
98,25,4,32,4,Some Random Commen with Id 98
99,25,4,164,2,Some Random Commen with Id 99
100,25,4,123,0,Some Random Commen with Id 100
101,26,7,197,3,Some Random Commen with Id 101
102,26,7,134,9,Some Random Commen with Id 102
103,26,7,46,0,Some Random Commen with Id 103
104,26,7,154,9,Some Random Commen with Id 104
105,26,7,163,9,Some Random Commen with Id 105
106,27,7,13,7,Some Random Commen with Id 106
107,27,7,147,6,Some Random Commen with Id 107
108,27,7,59,1,Some Random Commen with Id 108
109,27,7,171,0,Some Random Commen with Id 109
110,27,7,46,3,Some Random Commen with Id 110
111,28,6,146,7,Some Random Commen with Id 111
112,28,6,90,0,Some Random Commen with Id 112
113,28,6,29,5,Some Random Commen with Id 113
114,28,6,93,8,Some Random Commen with Id 114
115,28,6,128,9,Some Random Commen with Id 115
116,28,6,119,3,Some Random Commen with Id 116
117,28,6,178,5,Some Random Commen with Id 117
118,28,6,151,1,Some Random Commen with Id 118
119,29,6,6,9,Some Random Commen with Id 119
120,29,6,127,4,Some Random Commen with Id 120
121,29,6,71,3,Some Random Commen with Id 121
122,29,6,97,4,Some Random Commen with Id 122
123,29,6,116,9,Some Random Commen with Id 123
124,29,6,23,3,Some Random Commen with Id 124
125,29,6,59,7,Some Random Commen with Id 125
126,29,6,189,3,Some Random Commen with Id 126
127,29,6,95,5,Some Random Commen with Id 127
128,30,2,91,2,Some Random Commen with Id 128
129,30,2,84,9,Some Random Commen with Id 129
130,30,2,105,2,Some Random Commen with Id 130
131,30,2,177,2,Some Random Commen with Id 131
132,30,2,129,7,Some Random Commen with Id 132
133,30,2,24,4,Some Random Commen with Id 133
134,30,2,197,5,Some Random Commen with Id 134
135,31,0,129,9,Some Random Commen with Id 135
136,31,0,100,9,Some Random Commen with Id 136
137,31,0,112,0,Some Random Commen with Id 137
138,31,0,181,8,Some Random Commen with Id 138
139,31,0,57,0,Some Random Commen with Id 139
140,32,9,88,8,Some Random Commen with Id 140
141,32,9,64,9,Some Random Commen with Id 141
142,32,9,33,2,Some Random Commen with Id 142
143,32,9,182,6,Some Random Commen with Id 143
144,33,6,158,0,Some Random Commen with Id 144
145,33,6,68,0,Some Random Commen with Id 145
146,34,3,58,0,Some Random Commen with Id 146
147,34,3,168,3,Some Random Commen with Id 147
148,35,3,126,1,Some Random Commen with Id 148
149,35,3,83,2,Some Random Commen with Id 149
150,35,3,154,0,Some Random Commen with Id 150
151,35,3,18,8,Some Random Commen with Id 151
152,35,3,27,0,Some Random Commen with Id 152
153,35,3,154,0,Some Random Commen with Id 153
154,35,3,193,5,Some Random Commen with Id 154
155,35,3,164,6,Some Random Commen with Id 155
156,35,3,89,4,Some Random Commen with Id 156
157,36,8,13,6,Some Random Commen with Id 157
158,36,8,53,9,Some Random Commen with Id 158
159,36,8,144,9,Some Random Commen with Id 159
160,36,8,56,2,Some Random Commen with Id 160
161,36,8,55,1,Some Random Commen with Id 161
162,36,8,95,6,Some Random Commen with Id 162
163,36,8,19,4,Some Random Commen with Id 163
164,36,8,144,1,Some Random Commen with Id 164
165,36,8,83,8,Some Random Commen with Id 165
166,37,5,31,4,Some Random Commen with Id 166
167,37,5,86,0,Some Random Commen with Id 167
168,37,5,87,8,Some Random Commen with Id 168
169,37,5,103,5,Some Random Commen with Id 169
170,37,5,193,1,Some Random Commen with Id 170
171,37,5,68,1,Some Random Commen with Id 171
172,37,5,42,3,Some Random Commen with Id 172
173,37,5,46,2,Some Random Commen with Id 173
174,37,5,60,6,Some Random Commen with Id 174
175,38,4,125,0,Some Random Commen with Id 175
176,38,4,12,4,Some Random Commen with Id 176
177,38,4,56,3,Some Random Commen with Id 177
178,38,4,20,2,Some Random Commen with Id 178
179,38,4,133,2,Some Random Commen with Id 179
180,38,4,159,4,Some Random Commen with Id 180
181,38,4,91,2,Some Random Commen with Id 181
182,39,5,22,2,Some Random Commen with Id 182
183,39,5,159,8,Some Random Commen with Id 183
184,39,5,60,6,Some Random Commen with Id 184
185,39,5,161,0,Some Random Commen with Id 185
186,39,5,49,2,Some Random Commen with Id 186
187,39,5,149,6,Some Random Commen with Id 187
188,39,5,58,3,Some Random Commen with Id 188
